wbs_code,description,tp_pos,package,building,nta_ref,status,budget_eur,target_kw,qty_total,qty_done,qty_remaining,manpower_per_day,duration_days,total_mandays,scope,responsible,payment_ref,source,level,parent_wbs,is_leaf,baseline_start,baseline_finish,baseline_working_days,baseline_total_md
1.2.1,PR-Fassade FT02/03/10/14,,E2NS,E2S,,,35683.84,KW21,,,,,,,,,04.11,Pmt,3,1.2,False,,,,
1.2.1.1,FT02,,E2NS,E2S,,,,KW21,340,334,6,,,,,,,,4,1.2.1,False,,,,
1.2.1.1.1,FT-02 Outside,,E2NS,,,,,KW21,,,,,,,EXT,,,,5,1.2.1.1,False,,,,
1.2.1.1.1.1,Zigzak West,2.1.1,E2NS,,,,,KW21,120,120,,3,1,3,,MYA,,TP,6,1.2.1.1.1,True,,,,
1.2.1.1.1.2,Zigzak South,2.1.2,E2NS,,,,,KW21,80,77,3,2,3,6,,MYA,,TP,6,1.2.1.1.1,True,,,,
1.2.1.1.1.3,Zigzak East,2.1.3,E2NS,,,,,KW21,140,137,3,2,3,6,,MYA,,TP,6,1.2.1.1.1,True,,,,
1.2.1.1.2,FT-02 Inside,,E2NS,,,,,KW21,,,,,,,INT,,,,5,1.2.1.1,False,,,,
1.2.1.1.2.1,Handle Install,4.4.1,E2NS,,,,,KW21,33,,33,3,12,36,,MYA,,TP,6,1.2.1.1.2,True,2026-04-13,2026-04-18,6,36
1.2.1.1.2.2,Silicone/Gasket,4.4.2,E2NS,,,,,KW21,255,,255,2,6,12,,MYA,,TP,6,1.2.1.1.2,True,2026-03-30,2026-04-04,6,12
1.2.1.1.2.3,Membrane Touchup,4.4.3,E2NS,,,,,KW21,79,,79,2,12,24,,MYA,,TP,6,1.2.1.1.2,True,2026-03-30,2026-04-11,12,24
1.2.1.2,FT03,,E2NS,E2S,,,,KW21,241,,241,,,,,,,,4,1.2.1,False,,,,
1.2.1.2.1,FT-03 Outside,,E2NS,,,,,KW21,,,,,,,EXT,,,,5,1.2.1.2,False,,,,
1.2.1.2.1.1,Phonotherm+Flashing,3.3.1,E2NS,,,,,KW21,107,,107,2,18,36,,MYA,,TP,6,1.2.1.2.1,True,2026-03-16,2026-04-04,18,36
1.2.1.2.1.2,Glass Pressure+Cover,3.3.2,E2NS,,,,,KW21,27,,27,5,6,30,,MYA,,TP,6,1.2.1.2.1,True,2026-03-30,2026-04-04,6,30
1.2.1.2.1.3,Al sheet console,3.3.3,E2NS,,,,,KW21,38,,38,4,24,96,,MYA,,TP,6,1.2.1.2.1,True,2026-03-02,2026-03-14,12,96
1.2.1.2.1.4,Top Attika (N),3.3.4,E2NS,,,,,KW21,39,,39,2,6,12,,MYA,,TP,6,1.2.1.2.1,True,2026-03-23,2026-04-01,6,12
1.2.1.2.1.5,Steel behind stone (S),3.3.5,E2NS,,,,,KW21,30,,30,2,6,12,,MYA,,TP,6,1.2.1.2.1,True,2026-03-23,2026-04-01,6,12
1.2.1.2.2,FT-03 Inside,,E2NS,,,,,KW21,,,,,,,INT,,,,5,1.2.1.2,False,,,,
1.2.1.2.2.1,Al sheet install,4.7.1,E2NS,,,,,KW21,107,,107,2,12,24,,MYA,,TP,6,1.2.1.2.2,True,2026-04-13,2026-04-25,12,24
1.2.1.2.2.2,Handle Install,4.7.2,E2NS,,,,,KW21,16,,16,2,6,12,,MYA,,TP,6,1.2.1.2.2,True,2026-04-20,2026-04-25,6,12
1.2.1.2.2.3,Paint Touch up,4.7.3,E2NS,,,,,KW21,107,,107,2,24,48,,MYA,,TP,6,1.2.1.2.2,True,2026-03-30,2026-04-25,24,48
1.2.1.2.3,FT03 Acoustic Inside,,E2NS,,,,,KW21,,,,,,,INT,,,,5,1.2.1.2,False,,,,
1.2.1.2.3.1,Mock-up,4.10.1,E2NS,,,,,KW21,1,1,,2,2,4,,MYA,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.2,Acoustic Testing,4.10.2,E2NS,,,,,KW21,1,,1,2,1,2,,MYA,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.3,Approval SOB/DSI/URW,4.10.3,E2NS,,,,,KW21,,,,,,,,URW,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.4,Procurement+Mfg,4.10.4,E2NS,,,,,KW21,20,,20,,,,,MYA,,TP,6,1.2.1.2.3,True,,,,
1.2.1.2.3.5,Installation,4.10.5,E2NS,,,,,KW21,20,,20,2,18,36,,MYA,,TP,6,1.2.1.2.3,True,2026-04-27,2026-05-02,6,36
1.2.1.3,FT10,,E2NS,E2S,,,,KW21,,,,,,,,,,,4,1.2.1,False,,,,
1.2.1.4,FT14 Inside,,E2NS,E2S,,,,KW21,,,,,,,INT,,,,4,1.2.1,False,,,,
1.2.1.4.1,Al sheet install,4.5.1,E2NS,,,,,KW21,43,,43,2,6,12,,MYA,,TP,5,1.2.1.4,True,2026-04-20,2026-04-25,6,12
1.2.1.4.2,Handle Install,4.5.2,E2NS,,,,,KW21,43,,43,2,6,12,,MYA,,TP,5,1.2.1.4,True,2026-04-20,2026-04-25,6,12
1.2.2,PR-Fassade FT05/06/09+Interkom,,E2NS,E2S,NTA063,,55655.92,KW15,,,,,,,,,04.12,Pmt,3,1.2,False,,,,
1.2.2.1,FT05,,E2NS,E2S,,,,KW15,17,4,13,,,,,,,,4,1.2.2,False,,,,
1.2.2.1.1,FT-05 Outside,,E2NS,,,,,KW15,,,,,,,EXT,,,,5,1.2.2.1,False,,,,
1.2.2.1.1.1,Glass install,2.3.1,E2NS,,,,,KW15,5,,5,4,3,12,,MYA,,TP,6,1.2.2.1.1,True,2026-02-02,2026-02-04,3,12
1.2.2.1.1.2,Membrane Big,2.3.2,E2NS,,,,,KW15,6,,6,3,30,81,,MYA,,TP,6,1.2.2.1.1,True,2026-01-12,2026-01-31,18,81
